vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bamingui_Bangoran,retournes,non_fonct,logistique,surpeuplee,28.8%,24.0%,19.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bamingui_Bangoran,hote,autre,financier,logistique,17.5%,15.5%,13.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bamingui_Bangoran,deplaces_site,autre,logistique,financier,19.0%,16.6%,15.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bamingui_Bangoran,deplaces_FA,financier,logistique,autre,33.2%,26.2%,22.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham,hote,financier,autre,acces_dangereux,24.3%,12.8%,9.73%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham,deplaces_site,financier,aucune,autre,25.5%,10.3%,10.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham,deplaces_FA,financier,non_fonct,logistique,36.0%,10.2%,8.58%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham,retournes,acces_dangereux,aucune,financier,22.0%,17.3%,15.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Basse_Kotto,deplaces_site,financier,aucune,acces_dangereux,20.3%,14.5%,13.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Basse_Kotto,deplaces_FA,financier,acces_dangereux,non_fonct,24.7%,15.3%,10.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Basse_Kotto,hote,financier,non_fonct,acces_dangereux,21.8%,13.5%,11.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Basse_Kotto,retournes,financier,manque_interet,aucune,47.6%,25.2%,9.54%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Vakaga,hote,financier,manque_staff,acces_impossible,31.4%,14.8%,9.24%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Vakaga,deplaces_FA,financier,acces_dangereux,manque_staff,28.0%,13.1%,12.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bangui,hote,financier,aucune,autre,22.0%,21.6%,15.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bangui,retournes,financier,autre,acces_dangereux,30.4%,11.8%,10.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bangui,deplaces_FA,financier,aucune,autre,26.7%,15.0%,12.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouaka,deplaces_site,financier,logistique,aucune,24.7%,15.6%,12.4%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouaka,deplaces_FA,financier,logistique,acces_dangereux,30.4%,19.8%,10.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouaka,hote,financier,autre,aucune,23.2%,15.1%,14.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouaka,retournes,autre,financier,logistique,27.8%,21.4%,13.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Mambere,hote,financier,aucune,autre,21.4%,19.9%,15.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Mambere,deplaces_FA,financier,acces_dangereux,logistique,23.1%,19.5%,16.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Mambere,retournes,financier,autre,manque_interet,16.5%,14.6%,13.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham_Pende,hote,financier,logistique,acces_dangereux,25.1%,11.2%,10.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham_Pende,deplaces_FA,financier,logistique,physique,36.2%,15.3%,8.93%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouham_Pende,retournes,financier,manque_interet,acces_dangereux,24.8%,14.0%,12.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Gribizi,deplaces_site,financier,aucune,logistique,18.2%,15.8%,15.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Gribizi,hote,financier,acces_dangereux,non_fonct,26.2%,17.7%,15.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Gribizi,deplaces_FA,financier,acces_dangereux,enfants_occupes,29.9%,24.0%,14.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Gribizi,retournes,financier,manque_interet,infra,33.8%,18.3%,18.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mbomou,hote,financier,logistique,aucune,23.8%,11.5%,9.95%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mbomou,retournes,financier,aucune,logistique,18.7%,16.3%,15.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mbomou,deplaces_site,financier,autre,aucune,26.7%,14.9%,14.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mbomou,deplaces_FA,financier,logistique,acces_impossible,32.2%,22.9%,13.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mambere_Kadei,deplaces_FA,financier,aucune,manque_staff,22.0%,18.6%,14.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mambere_Kadei,hote,financier,manque_staff,logistique,20.3%,11.8%,11.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ombella_MPoko,deplaces_FA,financier,autre,logistique,22.1%,18.7%,14.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ombella_MPoko,hote,financier,autre,acces_impossible,22.2%,18.6%,15.9%
