"","dependent.var","dependent.var.value","independent.var","independent.var.value","repeat.var","repeat.var.value","numbers"
"1","educ_5_ecole_acces_1","financier","total","total","admin_2","Ndele",0.175
"2","educ_5_ecole_acces_1","financier","total","total","admin_2","Bouca",0.227
"3","educ_5_ecole_acces_1","financier","total","total","admin_2","Alindao",0.242
"4","educ_5_ecole_acces_1","financier","total","total","admin_2","Birao",0.305
"5","educ_5_ecole_acces_1","financier","total","total","admin_2","Bangui",0.224
"6","educ_5_ecole_acces_1","financier","total","total","admin_2","Mobaye",0.261
"7","educ_5_ecole_acces_1","financier","total","total","admin_2","Bambari",0.225
"8","educ_5_ecole_acces_1","aucune","total","total","admin_2","Bouar",0.209
"9","educ_5_ecole_acces_1","financier","total","total","admin_2","Bocaranga",0.35
"10","educ_5_ecole_acces_1","financier","total","total","admin_2","Bossangoa",0.311
"11","educ_5_ecole_acces_1","financier","total","total","admin_2","Kaga_Bandoro",0.253
"12","educ_5_ecole_acces_1","non_fonct","total","total","admin_2","Koui",0.215
"13","educ_5_ecole_acces_1","financier","total","total","admin_2","Bakala",0.253
"14","educ_5_ecole_acces_1","financier","total","total","admin_2","Bangassou",0.253
"15","educ_5_ecole_acces_1","financier","total","total","admin_2","Nana_Bakassa",0.31
"16","educ_5_ecole_acces_1","financier","total","total","admin_2","Rafai",0.24
"17","educ_5_ecole_acces_1","financier","total","total","admin_2","Ngaoundaye",0.357
"18","educ_5_ecole_acces_1","financier","total","total","admin_2","Ippy",0.352
"19","educ_5_ecole_acces_1","financier","total","total","admin_2","Berberati",0.251
"20","educ_5_ecole_acces_1","financier","total","total","admin_2","Mbres",0.235
"21","educ_5_ecole_acces_1","autre","total","total","admin_2","Bimbo",0.21
"22","educ_5_ecole_acces_1","financier","total","total","admin_2","Grimari",0.222
"23","educ_5_ecole_acces_1","financier","total","total","admin_2","Sibut",0.255
"24","educ_5_ecole_acces_1","financier","total","total","admin_2","Ndjoukou",0.245
"25","educ_5_ecole_acces_1","financier","total","total","admin_2","Baboua",0.15
"26","educ_5_ecole_acces_1","financier","total","total","admin_2","Abba",0.196
"27","educ_5_ecole_acces_1","financier","total","total","admin_2","Obo",0.319
"28","educ_5_ecole_acces_1","financier","total","total","admin_2","Kabo",0.288
"29","educ_5_ecole_acces_1","financier","total","total","admin_2","Kouango",0.22
"30","educ_5_ecole_acces_1","financier","total","total","admin_2","Ouango",0.268
"31","educ_5_ecole_acces_1","financier","total","total","admin_2","Gambo",0.306
"32","educ_5_ecole_acces_1","financier","total","total","admin_2","Nangha_Boguila",0.435
"33","educ_5_ecole_acces_1","financier","total","total","admin_2","Damara",0.233
"34","educ_5_ecole_acces_1","financier","total","total","admin_2","Bozoum",0.277
"35","educ_5_ecole_acces_1","financier","total","total","admin_2","Bossemtele",0.319
