vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ndele,,financier,autre,logistique,17.5%,16.5%,15.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bouca,,financier,autre,acces_impossible,22.7%,16.8%,13.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Alindao,,financier,non_fonct,logistique,24.2%,13.0%,11.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Birao,,financier,manque_staff,acces_impossible,30.5%,16.1%,10.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bangui,,financier,aucune,autre,22.4%,20.4%,15.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mobaye,,financier,manque_interet,logistique,26.1%,16.6%,12.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bambari,,financier,autre,aucune,22.5%,14.0%,13.9%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bouar,,aucune,financier,autre,20.9%,19.6%,15.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bocaranga,,financier,logistique,manque_interet,35.0%,13.0%,10.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bossangoa,,financier,autre,non_fonct,31.1%,12.5%,10.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Kaga_Bandoro,,financier,non_fonct,acces_dangereux,25.3%,13.4%,12.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Koui,,non_fonct,financier,acces_dangereux,21.5%,21.0%,13.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bakala,,financier,aucune,manque_interet,25.3%,13.8%,9.64%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bangassou,,financier,logistique,aucune,25.3%,18.2%,12.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nana_Bakassa,,financier,autre,logistique,31.0%,13.9%,13.3%
